url,extracted_domains,resolution_status,cop,lang
https://x.com/Reuters/status/1459539801560993793,reuters.com,OK,26,en
https://x.com/UN/status/1459539779113177090,news.un.org,OK,26,en
https://x.com/RESCUEorg/status/1459538806290399234,rescue.org,OK,26,en
https://x.com/Tiredearth/status/1459538775332335618,tiredearth.com,OK,26,en
https://x.com/LaaliMD/status/1459536533590056961,tpt.org,OK,26,en
https://x.com/AFP/status/1459536278374936576,u.afp.com,OK,26,en
https://x.com/DrMariaNeira/status/1459535217560010756,reuters.com,OK,26,en
https://x.com/CANIntl/status/1459527826177101824,climatenetwork.org,OK,26,en
https://x.com/guardianeco/status/1459525969283194881,theguardian.com,OK,26,en
https://x.com/BestForBritain/status/1459523947666583557,theguardian.com,OK,26,en
https://x.com/nowthisimpact/status/1459522185815412738,twitter.com,OK,26,en
https://x.com/UNBiodiversity/status/1459522185786056717,unfccc.int,OK,26,en
https://x.com/CortsGina/status/1459521906655350785,climatenetwork.org,OK,26,en
https://x.com/KentPage/status/1459521479293476870,unicef.org,OK,26,en
https://x.com/UNDP/status/1459521438482763778,dontchooseextinction.com,OK,26,en
https://x.com/PhilippaNuttall/status/1459519206366580737,newstatesman.com,OK,26,en
https://x.com/RachelReevesMP/status/1459518196164218880,labourlist.org,OK,26,en
https://x.com/waglenikhil/status/1459517830962065418,thenewsminute.com,OK,26,en
https://x.com/CarolineLucas/status/1459516775188635650,theguardian.com,OK,26,en
https://x.com/Morcia/status/1459514899684642819,inews.co.uk,OK,26,en
https://x.com/AJEnglish/status/1459513920809492483,aljazeera.com,OK,26,en
https://x.com/Grahanimal/status/1459513654991331329,bbc.co.uk,OK,26,en
https://x.com/MikeHudema/status/1459511912690077697,buff.ly,OK,26,en
https://x.com/raam_beart/status/1459511132985565187,scotsman.com,OK,26,en
https://x.com/dhanyarajendran/status/1459510207407554564,thenewsminute.com,OK,26,en
https://x.com/cbcwhatonearth/status/1459510106085900288,cbc.ca,OK,26,en
https://x.com/Cardano_CF/status/1459509098534289417,ito.veritree.com,OK,26,en
https://x.com/PabloSurGames/status/1459508053657726979,vimeo.com,OK,26,en
https://x.com/disharavii/status/1459506792354836483,app.independent.co.uk,OK,26,en
https://x.com/DrBobBullard/status/1459506394294595590,npr.org,OK,26,en
https://x.com/Reuters/status/1459505115598106624,reuters.com,OK,26,en
https://x.com/CarbonBrief/status/1459504832729993218,carbonbrief.org,OK,26,en
https://x.com/DrJohnAPatters1/status/1459504612940124169,twitter.com,OK,26,en
https://x.com/Reuters/status/1459503477130891269,twitter.com,OK,26,en
https://x.com/KetanJ0/status/1459503175459905549,validate.perfdrive.com,OK,26,en
https://x.com/dpcarrington/status/1459503010762170377,theguardian.com,OK,26,en
https://x.com/carltonreid/status/1459502070399217664,youtube.com,OK,26,en
https://x.com/pendergrassdrew/status/1459501759668367364,actionnetwork.org,OK,26,en
https://x.com/wildmoorsuk/status/1459500514773766146,examinerlive.co.uk,OK,26,en
https://x.com/ScotlandTBP/status/1459499466147471361,scotsman.com,OK,26,en
https://x.com/stubutchart/status/1459498168522092545,theguardian.com,OK,26,en
https://x.com/IUCN/status/1459497308941430789,theguardian.com,OK,26,en
https://x.com/UKaForceForGood/status/1459497105341489155,aforceforgood.uk,OK,26,en
https://x.com/CANIntl/status/1459496214970335232,climatenetwork.org,OK,26,en
https://x.com/ArthurWyns/status/1459495820785557504,grandreserva.unfccc.int,OK,26,en
https://x.com/AFP/status/1459493747926786056,u.afp.com,OK,26,en
https://x.com/WeDontHaveTime/status/1459493320711979009,r.sib.wedonthavetime.org,OK,26,en
https://x.com/jakespring/status/1459491578419027968,reuters.com,OK,26,en
https://x.com/WildlifeTrusts/status/1459491534642970627,twitter.com,OK,26,en
https://x.com/Greenpeace/status/1459491235870085125,greenpeace.org,OK,26,en
https://x.com/owen_g/status/1459490778896601089,theguardian.com,OK,26,en
https://x.com/iburrell/status/1459489398077243394,inews.co.uk,OK,26,en
https://x.com/UNClimateSummit/status/1459488238155051021,theconversation.com,OK,26,en
https://x.com/disharavii/status/1459486737353166852,independent.co.uk,OK,26,en
https://x.com/StephenCowan/status/1459485850945867782,lbhfmailings.org.uk,OK,26,en
https://x.com/NetZeroWatch/status/1459485203303391233,telegraph.co.uk,OK,26,en
https://x.com/ECOWARRIORSS/status/1459485167823863813,unep.org,OK,26,en
https://x.com/AssaadRazzouk/status/1459484951666114567,theangrycleanenergyguy.com,OK,26,en
https://x.com/SkyNews/status/1459484797336797185,news.sky.com,OK,26,en
https://x.com/FutureofRail/status/1459481237924552704,newint.org,OK,26,en
https://x.com/ChloeFarand/status/1459481139748429828,climatechangenews.com,OK,26,en
https://x.com/CANIntl/status/1459480489660538890,nationalgeographic.com,OK,26,en
https://x.com/MGSchmelzer/status/1459479871235706881,theguardian.com,OK,26,en
https://x.com/AJEnglish/status/1459479674153836552,aje.io,OK,26,en
https://x.com/CANIntl/status/1459475810188890121,climatenetwork.org,OK,26,en
https://x.com/carltonreid/status/1459475313411379200,youtube.com,OK,26,en
https://x.com/LDCChairUNFCCC/status/1459474049432801286,nytimes.com,OK,26,en
https://x.com/SWP_Britain/status/1459473348103131137,eventbrite.co.uk,OK,26,en
https://x.com/guardian/status/1459473125775654913,theguardian.com,OK,26,en
https://x.com/AfricaAtLSE/status/1459472105288859652,blogs.lse.ac.uk,OK,26,en
https://x.com/thoughtland/status/1459471302859935749,thenational.scot,OK,26,en
https://x.com/CampanaleMark/status/1459470810020823044,theguardian.com,OK,26,en
https://x.com/WHOWPRO/status/1459469588886953986,bit.ly,OK,26,en
https://x.com/PaulEDawson/status/1459469232601767937,bbc.co.uk,OK,26,en
https://x.com/victorianoi/status/1459468702626287618,graphext.com,OK,26,en
https://x.com/dpcarrington/status/1459468209879408641,theguardian.com,OK,26,en
https://x.com/corbyn_project/status/1459466484443451392,thecorbynproject.com,OK,26,en
https://x.com/SkyNews/status/1459466474028945409,news.sky.com,OK,26,en
https://x.com/EcocideLaw/status/1459466459952959490,euronews.com,OK,26,en
https://x.com/greenpeacepress/status/1459465673940295680,greenpeace.org,OK,26,en
https://x.com/patrickgaley/status/1459465170611322881,news.yahoo.com,OK,26,en
https://x.com/SkyNews/status/1459461286979424259,news.sky.com,OK,26,en
https://x.com/SkyNews/status/1459460766055206912,news.sky.com,OK,26,en
https://x.com/kuminaidoo/status/1459460203913658380,democracynow.org,OK,26,en
https://x.com/Reuters/status/1459459806549450762,reuters.com,OK,26,en
https://x.com/tveitdal/status/1459458972164009984,aje.io,OK,26,en
https://x.com/Reuters/status/1459458550305116160,reuters.com,OK,26,en
https://x.com/DrMariaNeira/status/1459457966369820675,nytimes.com,OK,26,en
https://x.com/CameronAMackay/status/1459457283931443205,thebiglight.com,OK,26,en
https://x.com/iaeaorg/status/1459453986029727747,iaea.org,OK,26,en
https://x.com/nit_set/status/1459453666805444611,unfccc.int,OK,26,en
https://x.com/NetZeroWatch/status/1459452214204903425,enca.com,OK,26,en
https://x.com/SkyNewsBreak/status/1459451226173677571,news.sky.com,OK,26,en
https://x.com/NicSommer/status/1459450776040869891,theguardian.com,OK,26,en
https://x.com/sticker_doodles/status/1459450654385221641,littlestickerdoodles.com,OK,26,en
https://x.com/daudpasaney/status/1459450557261828103,scotsman.com,OK,26,en
https://x.com/guardianeco/status/1459450104029466625,theguardian.com,OK,26,en
https://x.com/MothershipSG/status/1459449249633030148,mothership.sg,OK,26,en
https://x.com/UNHABITAT/status/1459447984396062727,youtube.com,OK,26,en
https://x.com/YorksBylines/status/1459447908609273867,yorkshirebylines.co.uk,OK,26,en
https://x.com/camillaborn/status/1459447353673404424,unfccc.int,OK,26,en
https://x.com/camillaborn/status/1459447353673404424,unfccc.int,OK,26,en
https://x.com/camillaborn/status/1459447353673404424,unfccc.int,OK,26,en
https://x.com/DrSimEvans/status/1459447005525258251,unfccc.int,OK,26,en
https://x.com/DrSimEvans/status/1459447005525258251,unfccc.int,OK,26,en
https://x.com/James_BG/status/1459446745570623494,unfccc.int,OK,26,en
https://x.com/FinancialTimes/status/1459446004957290496,ft.com,OK,26,en
https://x.com/UNFCCC/status/1459445927660429337,unfccc.int,OK,26,en
https://x.com/openuk_uk/status/1459445669924687884,openuk.uk,OK,26,en
